,date,bike_place,bike
897,2020-06-16,66,762
898,2020-06-17,66,762
899,2020-06-18,67,772
900,2020-06-19,67,772
901,2020-06-20,67,772
902,2020-06-21,67,772
903,2020-06-22,67,772
904,2020-06-23,67,772
905,2020-06-24,67,772
906,2020-06-25,67,772
907,2020-06-26,67,772
908,2020-06-27,67,772
909,2020-06-28,67,772
910,2020-06-29,67,772
911,2020-06-30,67,772
912,2020-07-01,67,772
913,2020-07-02,67,772
914,2020-07-03,67,772
915,2020-07-04,67,772
916,2020-07-05,67,772
917,2020-07-06,67,772
918,2020-07-07,67,772
919,2020-07-08,67,772
920,2020-07-09,67,772
921,2020-07-10,67,772
922,2020-07-11,67,772
923,2020-07-12,67,772
924,2020-07-13,67,772
925,2020-07-14,67,772
926,2020-07-15,67,772
927,2020-07-16,67,772
928,2020-07-17,67,772
929,2020-07-18,67,772
930,2020-07-19,67,772
931,2020-07-20,67,772
932,2020-07-21,67,772
933,2020-07-22,67,772
934,2020-07-23,67,772
935,2020-07-24,67,772
936,2020-07-25,67,772
937,2020-07-26,67,772
938,2020-07-27,67,772
939,2020-07-28,67,772
940,2020-07-29,67,772
941,2020-07-30,67,772
942,2020-07-31,67,772
943,2020-08-01,67,772
944,2020-08-02,67,772
945,2020-08-03,67,772
946,2020-08-04,67,772
947,2020-08-05,67,772
948,2020-08-06,67,772
949,2020-08-07,67,772
950,2020-08-08,67,772
951,2020-08-09,67,772
952,2020-08-10,67,772
953,2020-08-11,67,772
954,2020-08-12,67,772
955,2020-08-13,67,772
956,2020-08-14,67,772
957,2020-08-15,67,772
958,2020-08-16,67,772
959,2020-08-17,67,772
960,2020-08-18,67,772
961,2020-08-19,67,772
962,2020-08-20,67,772
963,2020-08-21,67,772
964,2020-08-22,67,772
965,2020-08-23,67,772
966,2020-08-24,67,772
967,2020-08-25,67,772
968,2020-08-26,67,772
969,2020-08-27,67,772
970,2020-08-28,67,772
971,2020-08-29,67,772
972,2020-08-30,67,772
973,2020-08-31,67,772
974,2020-09-01,67,772
975,2020-09-02,67,772
976,2020-09-03,67,772
977,2020-09-04,67,772
978,2020-09-05,67,772
979,2020-09-06,67,772
980,2020-09-07,67,772
981,2020-09-08,67,772
982,2020-09-09,67,772
983,2020-09-10,67,772
984,2020-09-11,67,772
985,2020-09-12,67,772
986,2020-09-13,67,772
987,2020-09-14,67,772
988,2020-09-15,67,772
989,2020-09-16,67,772
990,2020-09-17,67,772
991,2020-09-18,67,772
992,2020-09-19,67,772
993,2020-09-20,67,772
994,2020-09-21,67,772
995,2020-09-22,67,772
996,2020-09-23,67,772
997,2020-09-24,67,772
998,2020-09-25,67,772
999,2020-09-26,67,772
1000,2020-09-27,67,772
1001,2020-09-28,67,772
1002,2020-09-29,67,772
1003,2020-09-30,67,772
1004,2020-10-01,67,772
1005,2020-10-02,67,772
1006,2020-10-03,67,772
1007,2020-10-04,67,772
1008,2020-10-05,67,772
1009,2020-10-06,67,772
1010,2020-10-07,67,772
1011,2020-10-08,67,772
1012,2020-10-09,67,772
1013,2020-10-10,67,772
1014,2020-10-11,67,772
1015,2020-10-12,67,772
1016,2020-10-13,67,772
1017,2020-10-14,67,772
1018,2020-10-15,67,772
1019,2020-10-16,67,772
1020,2020-10-17,67,772
1021,2020-10-18,67,772
1022,2020-10-19,67,772
1023,2020-10-20,67,772
1024,2020-10-21,67,772
1025,2020-10-22,67,772
1026,2020-10-23,67,772
1027,2020-10-24,67,772
1028,2020-10-25,67,772
1029,2020-10-26,67,772
1030,2020-10-27,67,772
1031,2020-10-28,67,772
1032,2020-10-29,67,772
1033,2020-10-30,67,772
1034,2020-10-31,67,772
1035,2020-11-01,67,772
1036,2020-11-02,67,772
1037,2020-11-03,67,772
1038,2020-11-04,67,772
1039,2020-11-05,67,772
1040,2020-11-06,67,772
1041,2020-11-07,67,772
1042,2020-11-08,67,772
1043,2020-11-09,67,772
1044,2020-11-10,67,772
1045,2020-11-11,67,772
1046,2020-11-12,67,772
1047,2020-11-13,67,772
1048,2020-11-14,67,772
1049,2020-11-15,67,772
1050,2020-11-16,67,772
1051,2020-11-17,67,772
1052,2020-11-18,67,772
1053,2020-11-19,67,772
1054,2020-11-20,67,772
1055,2020-11-21,67,772
1056,2020-11-22,67,772
1057,2020-11-23,67,772
1058,2020-11-24,67,772
1059,2020-11-25,67,772
1060,2020-11-26,67,772
1061,2020-11-27,67,772
1062,2020-11-28,67,772
1063,2020-11-29,67,772
1064,2020-11-30,67,772
1065,2020-12-01,67,772
1066,2020-12-02,67,772
